audio_path,transcription
dataset_small/train/audio_files/vivoice_178459.wav,Có bao nhiêu công việc của chúng ta.
dataset_small/train/audio_files/cskh_minimax10375.wav,"Nhẫn một chút, sống yên, xóa lặng, lùi một bước, biển rộng, trời cao, hàm ý rằng mọi chuyện trên đời đều thành công khi có sự kiên trì và nhẫn nhịn."
dataset_small/train/audio_files/ea7973fd-4ec1-4c88-8d19-c596df2cea20.wav,"dạ, chị có thể xác nhận mục đích vay của mình không ạ?"
dataset_small/train/audio_files/audio_11505_man_1.wav,mà không đóng kín trái tim mình lại.
dataset_small/train/audio_files/audio_24136_man_1.wav,"kinh khủng hơn, khi đi qua phòng giam, một tên tù nhân có bệnh hoạn đến mức có lẽ mình sẽ để mọi người tự xem cảnh này."
dataset_small/train/audio_files/vivoice_460086.wav,Cái cảm giác rùm rợ có thể là một phần bản năng của con người để bảo vệ chúng ta khỏi những mối nguy hiểm cận kề hơn là những mối nguy đang ở xa.
dataset_small/train/audio_files/vivoice_699139.wav,"Khi khiêm tốn, bạn mới trở nên nhanh nhạy với những điều tự lừa dối, để có thể nhận ra những hạn chế và định kiến trong hiểu biết của mình."
dataset_small/train/audio_files/cskh_minimax3109.wav,Thúc đẩy sự hiện diện trực tuyến độc đáo với giải pháp của chúng tôi ngay hôm nay.
dataset_small/train/audio_files/vivoice_636529.wav,Và đừng quên theo dõi kênh của mình cùng đón xem những nội dung cuốn sách bổ ích mới nhất.
dataset_small/train/audio_files/LSVSC_audio_20433.wav,"""Vì vậy mà năm, hết liên hoan giai điệu Sơn Ca lần thứ tư năm hai không mười chín."""
dataset_small/train/audio_files/vivoice_61942.wav,"Lần này, với một chút thá độ khó chịu trong giọng nói, như thế cảnh báo tôi rằng đừng nên từ chối lần nữa."
dataset_small/train/audio_files/vivoice_782829.wav,"Rất nhiều người đời xem trọng và nói theo, nhất là thuật ứng nhân xử thế và nhìn thấu tâm can."
dataset_small/train/audio_files/vivoice_848422.wav,"Ngoài việc giúp đứa trẻ bên trong giải phóng ra nỗi đau trong quá khứ, thì đừng quên rằng bạn cũng cần chia sẻ những cái niềm vui ở thời điểm hiện tại."
dataset_small/train/audio_files/audio_01073_man_1.wav,ông với tôi nghe kiểu nó chẳng thực tế các bạn ạ.
dataset_small/train/audio_files/vivoice_662050.wav,"Tuy nhiên, chúng ta cần phải đặc biệt tỉnh thức ở đây là hầu hết mọi người đều đang bị lấn sâu vào thẩm mỹ tiêu dùng, lúc nào không hay biết. Và một khi lấn sâu là không thể ngăn cản được ham muốn."
dataset_small/train/audio_files/LSVSC_audio_01812.wav,chung kết trở lên là sao.
dataset_small/train/audio_files/cskh_minimax6796.wav,Không cần đợi đến khi giàu có mới làm việc thiện.
dataset_small/train/audio_files/vivoice_246676.wav,Bây giờ bất kể bạn làm một cái nghề gì.
dataset_small/train/audio_files/train_3354.wav,sự áp bước bóc lột đã khiến dân số thổ dân tại đây bị rụt rảm đáng kể.
dataset_small/train/audio_files/web5ngay_20250222_011946_456.wav,"là cái bài tôi rất tâm huyết nói về chọn bạn thì ai chưa nghe, có thể tìm và nghe sớt trực tiếp ở trên diu túp này."
dataset_small/train/audio_files/audio_02720_man_1.wav,và đây chính là cái nhóm mà khổ sở nhất ở trong hiện tại.
dataset_small/train/audio_files/vivoice_117052.wav,Cảm ơn bạn đã lắng nghe chia sẻ của Kim Ngân trong chuyên mục Cảm Sách trên kênh Sách Tóm Tắt Bí Quyết Thành Công nơi chia sẻ lại cảm nhận về những bài học hay mà Ngân học được từ những cuốn sách hay để xuất bản thành công.
dataset_small/train/audio_files/LSVSC_audio_01227.wav,Tôi đã giải được một nửa
dataset_small/train/audio_files/audio_29292_man_1.wav,mọi việc vẫn được kiểm soát tốt đấy chứ.
dataset_small/train/audio_files/vivoice_234408.wav,Lão tử cũng trả lời đúng như vậy.
dataset_small/train/audio_files/vivoice_263504.wav,Tôi chỉ mong cha mẹ tha thứ cho tôi.
dataset_small/train/audio_files/A79segment17.wav,Hiện tại là mình đã xác thực tài khoản Giao Hàng Nhanh chưa chị?
dataset_small/train/audio_files/vivoice_213479.wav,"Chạy đôn, chạy đáo, bỏ công bỏ việc. Công nhận cũng đuối thiệt chị."
dataset_small/train/audio_files/vivoice_65696.wav,Những người hướng nội có thể là nhà lãnh đạo thành công cao và thậm chí tốt hơn người hướng ngoại.
dataset_small/train/audio_files/vivoice_644362.wav,"Nói theo lời của Đức Phật thì có nghĩa, tất cả mọi thứ thực sự là vô thường và vô ngã."
dataset_small/train/audio_files/vivoice_74691.wav,Chương trình đúng như cái tên tôi đặt. Cái tên nói là Tri Kỷ Cảm Xúc là đúng rồi. Nhưng mà tôi xem tất cả quý vị và các bạn cũng như là Tri Kỷ của tôi.
dataset_small/train/audio_files/audio_26625_man_1.wav,người ta nói bánh trân chính là tượng trưng trên mặt đất.
dataset_small/train/audio_files/LSVSC_audio_03681.wav,"""Ngay sau khi tiếp nhận thông tin, ủy ban nhân dân thị xã Sapa chỉ đạo ủy ban nhân dân xã Mường Bo và các lực lượng chức năng phối hợp với gia đình tổ chức tìm kiếm."""
dataset_small/train/audio_files/web5ngay_231.wav,khi đưa ra những lời khuyên về bất động sản. người tư vấn không chỉ nên tập trung vào các đặc điểm bên ngoài mà còn cần phải làm rõ những yếu tố có thể ảnh hưởng đến giá trị lâu dài của tài sản.
dataset_small/train/audio_files/audio_22543_man_1.wav,thì mình sẽ lấy cái này tạm dụng để làm cái nóc liều.
dataset_small/train/audio_files/vivoice_377984.wav,Cho nên biết cho rằng.
dataset_small/train/audio_files/LSVSC_audio_41783.wav,Nhưng các bộ trưởng đã thể hiện được tinh thần trách nhiệm cầu thị nắm chắc thực trạng của ngành lĩnh vực mình phụ trách
dataset_small/train/audio_files/vivoice_346955.wav,Mà nhiều người rơi vào trầm cảm.
dataset_small/train/audio_files/vivoice_15809.wav,Thế nhưng cảm giác như tôi đang nắm giữ một sinh mạng trong tay mình vậy.
dataset_small/train/audio_files/audio_12907_man_1.wav,thị trường chưa hề hết.
dataset_small/train/audio_files/vivoice_393107.wav,"Sau khi nghe câu chuyện, ba người học trò đều nói."
dataset_small/train/audio_files/LSVSC_audio_12574.wav,nguyên nhân gây ra tai nạn giao thông chủ yếu do các lỗi Như lưu thông không đúng phần đường làn đường không chú ý quan sát vượt xe chuyển hướng không đúng quy định
dataset_small/train/audio_files/vivoice_39985.wav,Đúng không? Đó hoàn toàn là vô chấm hỏi to tứ.
dataset_small/train/audio_files/LSVSC_audio_41205.wav,mà nó xuất hiện tương đối nhiều năm nay rồi
dataset_small/train/audio_files/audio_02615_man_1.wav,ninh thuận miền đắc hội tụ những giá trị khác biệt.
dataset_small/train/audio_files/audio_29988_man_1.wav,"hai cái bắp bò này là một ký nè, thì mình trộn bắp tròn nha. trộn bắp tròn thì nó vừa có thịt và vừa có gam, phượng thấy ăn sẽ ngon hơn."
dataset_small/train/audio_files/audio_27579_man_1.wav,chỉ bằng mang đi may quần áo cho bà.
dataset_small/train/audio_files/LSVSC_audio_36653.wav,Vùng mưa sẽ vẫn còn tiếp tục mở rộng xuống cả khu vực Trung du và Đồng bằng Bắc Bộ
dataset_small/train/audio_files/LSVSC_audio_26466.wav,"""Mặc dù đạt được những kết quả khả quan trong việc nghiên cứu, phát triển và ứng dụng trí tuệ nhân tạo, nhưng như nhận định của các chuyên gia thì cơ hội luôn đi cùng với thách thức, đặc biệt với một quốc gia đang phát triển như Việt Nam."""
dataset_small/train/audio_files/LSVSC_audio_38001.wav,"""Mặt khác đây cũng chính là cơ hội để thanh niên chia sẻ nguyện vọng, kiến nghị với quốc hội, các cơ quan của nhà nước về công tác đào tạo nghề, đáp ứng yêu cầu trong giai đoạn hiện nay"""
dataset_small/train/audio_files/cskh_minimax875.wav,"Hai là học theo kiểu một kèm một, tức là giáo viên và học sinh chỉ có hai người trong lớp."
dataset_small/train/audio_files/cskh_minimax1580.wav,Lúc đó chị Lan và gia đình có thể quyết định đăng ký hay không cũng chưa muộn ạ.
dataset_small/train/audio_files/cskh_minimax8118.wav,"Những người mạnh cũng như vậy, họ tin vào bản thân chứ không tin vào người khác."
dataset_small/train/audio_files/audio_24932_man_1.wav,điều thú vị là khi cập bến vào đất liền.
dataset_small/train/audio_files/vivoice_184611.wav,"Một video mang tên, Lòng tốt thực sự luôn ẩn dấu trong bóng tối, qua cuốn tiểu thuyết nổi tiếng Người trộm bóng của nhà văn người Pháp Marc Lévy."
dataset_small/train/audio_files/vivoice_436537.wav,"Mới bảy tuổi thôi, Moza đã tổ chức một buổi hòa nhạc lớn làm cho cả thế giới âm nhạc phải hết sức kinh ngạc."
dataset_small/train/audio_files/lyhai_17.wav,những tình huống bất ngờ này yêu cầu người tổ chức phải linh hoạt. bình tĩnh và đưa ra quyết định đúng đắn trong thời gian ngắn.
dataset_small/train/audio_files/vivoice_41181.wav,Và cuối cùng.
dataset_small/train/audio_files/LSVSC_audio_20183.wav,Đáng quan ngại tình trạng này không chỉ tập trung riêng ở đô thị lớn như Hà Nội thành phố Hồ Chí Minh Mà còn diễn ra ở hầu hết các tỉnh thành phố và tập trung nhiều nhất ở khu vực ven biển
"dataset_small/train/audio_files/story_3_viettel_hn-namkhanh,hn-thaochi_69.wav",mỗi căn được tối ưu công năng với diện tích từ năm mươi đến một trăm hai mươi mét vuông.
dataset_small/train/audio_files/LSVSC_audio_06888.wav,Rồi đã từng làm ở hàng chục năm ở kiểm toán nhà nước
dataset_small/train/audio_files/vivoice_396540.wav,Thế vai trò của mình là cái gì trong đó?
dataset_small/train/audio_files/cskh_minimax972.wav,"Còn nếu mình chỉ rảnh vào khung giờ nhất định trong ngày, ví dụ sau tám giờ tối khi bé đã đi ngủ, thì bên em cũng sẽ linh động canh đúng giờ đó để gọi lại."
dataset_small/train/audio_files/vivoice_401218.wav,"Cho dù có thể sẽ đau đớn khi mà bạn làm như vậy, nhưng càng dũng cảm đương đầu với những xung đột của mình tìm ra giải pháp cho chúng thì chúng ta sẽ càng có được nhiều sự tự do và sức mạnh trong nội tâm."
dataset_small/train/audio_files/LSVSC_audio_39901.wav,Đấy thì những cái cơ sở lưu trú đấy thì ManMo đã giúp là bên cục có thông tin để liên hệ phối hợp trong cái việc là quản lý người họ đang cư trú
dataset_small/train/audio_files/LSVSC_audio_03960.wav,Có rất nhiều các cái cặp vợ chồng mà có tin vui
dataset_small/train/audio_files/vivoice_112832.wav,Thì bạn cũng sẽ khổ.
dataset_small/train/audio_files/cskh_minimax4616.wav,Chỉ còn vài chiếc cuối cùng cho người nhanh tay sở hữu công nghệ đột phá này.
dataset_small/train/audio_files/vivoice_407510.wav,Của cái cách sống be yourself này.
dataset_small/train/audio_files/LSVSC_audio_08489.wav,Thì Ở Việt Nam thì em thấy rằng là đối tượng đó đang ngày càng rộng mở ra.
dataset_small/train/audio_files/cskh_minimax1376.wav,Anh muốn em chuyển lịch giúp không ạ?
dataset_small/train/audio_files/vivoice_558665.wav,Khi ta còn trẻ.
dataset_small/train/audio_files/LSVSC_audio_31738.wav,Tin của Phạm Huân phóng viên Đài Tiếng nói Việt Nam thường trú tại Mỹ
dataset_small/train/audio_files/audio_15432_man_1.wav,sự bao biện cho bản thân đi đôi cùng thói diễn truyền thống ngày càng lan rộng đối với thất bại đã trở thành một rào cản cho sự phát triển hầu như không thể vượt qua.
dataset_small/train/audio_files/LSVSC_audio_21057.wav,còn những cái chính sách mà hỗ trợ như là cho vay và hỗ trợ có điều kiện nhân dân thì số tiếp cận vẫn chưa đạt như mong muốn
dataset_small/train/audio_files/LSVSC_audio_21974.wav,Năm hai nghìn không trăm hai mốt tổng nguồn thu của các quỹ là hơn ba nghìn bốn trăm sáu mươi tám tỷ đồng và đã chi hỗ trợ hơn hai nghìn bốn trăm hai lăm tỷ đồng.
dataset_small/train/audio_files/vivoice_527822.wav,Nhưng tâm hồn của cô.
dataset_small/train/audio_files/LSVSC_audio_16562.wav,Làm gì để ngăn chặn có hiệu quả với những sai phạm trong hoạt động đấu thầu?
dataset_small/train/audio_files/LSVSC_audio_13000.wav,"""Tập trung thực hiện tốt các cuộc vận động ,các phong trào thi đua dạy tốt học tốt đổi mới sáng tạo nhằm phát huy cao nhất tiềm năng trí tuệ khơi dậy lòng nhiệt huyết của đội ngũ giáo viên cán bộ quản lý giáo dục"""
dataset_small/train/audio_files/LSVSC_audio_36321.wav,Anh nhìn vào mảnh sắt đưa cơm trên cửa.
dataset_small/train/audio_files/LSVSC_audio_32733.wav,Tiếp tục hoạt động này nhằm nâng cao sức khoẻ và sự tiện lời cho người dân phòng chống dịch tập đoàn TH vừa ra mắt sản phẩm trà uống liền có nguồn gốc hoàn toàn từ tự nhiên
dataset_small/train/audio_files/audio_01980_man_1.wav,là một cái đặt cược.
dataset_small/train/audio_files/vivoice_685259.wav,"Nó vẫn phải qua thời gian, qua thử thách."
dataset_small/train/audio_files/vivoice_430462.wav,Đó là cái thư viện vĩ đại nhất thế giới.
dataset_small/train/audio_files/LSVSC_audio_33268.wav,Cung cấp các giải pháp thông minh cho nông nghiệp thủy sản và lâm nghiệp bằng các hệ thống xanh với công nghệ địa không gian
dataset_small/train/audio_files/LSVSC_audio_09632.wav,Của cả Các ngành công an quân đội giao thông để phòng chống dịch bệnh.
dataset_small/train/audio_files/vivoice_354338.wav,Làm ơn điền vật đơn này.
dataset_small/train/audio_files/vivoice_244227.wav,Bàn ghế để sẵn rồi.
dataset_small/train/audio_files/vivoice_459858.wav,Đó là lúc tôi nghe thấy giọng nói ấy.
dataset_small/train/audio_files/vivoice_843249.wav,Một người mơ mộng và một người thực tế thực ra đang sống trong hai thế giới hoàn toàn khác nhau.
dataset_small/train/audio_files/cskh_minimax8289.wav,Khách hàng đâu có hiểu được tất cả những khói nhọc diễn ra ở hậu trường chỉ để mang đến chọn một sản phẩm hay một dịch vụ tuyệt vời đâu.
dataset_small/train/audio_files/d0d892fa-c93e-4312-8635-496f6c5e8d91.wav,"tôi đã chuyển khoản mười triệu đồng vào tài khoản của anh từ hôm qua, nhưng chưa thấy xác nhận nhận tiền."
dataset_small/train/audio_files/LSVSC_audio_23127.wav,các đội quản lí thị trường cũng đã quán triệt chỉ đạo triển khai quyết liệt công tác phòng chống dịch tới từng công chức người lao động bảo đảm công tác vấn trực thường xuyên trong thời gian diễn ra dịch bệnh
dataset_small/train/audio_files/cskh_minimax5738.wav,"Trở thành một trong số ít người tiên phong sở hữu chiến lược quảng cáo độc quyền, giúp thương hiệu của bạn nổi bật trên thị trường."
dataset_small/train/audio_files/A100segment19.wav,"Dạ đúng rồi, đồng giá tất cả các tỉnh Bắc Trung Nam luôn ấy"
dataset_small/train/audio_files/LSVSC_audio_12885.wav,Thưa quý vị và các bạn nhận lời mời của bộ trưởng ngoại giao In đô nê xi a Rét nô Ma su đi bộ trưởng ngoại giao Bùi Thanh Sơn Thăm chính thức In đô nê xi a
dataset_small/train/audio_files/audio_06417_man_1.wav,đây là phòng ngủ master của gia đình.
dataset_small/train/audio_files/LSVSC_audio_18028.wav,Ngân hàng Bắc Á báo lãi trước thuế là bốn trăm bốn mươi tám tỷ đồng trong nửa đầu năm.
dataset_small/train/audio_files/LSVSC_audio_22721.wav,"""Để có tiền tiêu xài, các đối tượng bàn bạc rủ nhau đi trộm cắp, cướp, cướp giật tài sản"""
dataset_small/train/audio_files/vivoice_788919.wav,Bắt đầu chạy thiệt.
dataset_small/train/audio_files/audio_20768_man_1.wav,"cậu cảm thấy lo lắng bởi giấc mơ chẳng lành, nhưng cậu cũng không biết nên chia sẻ vấn đề này cùng ai."
dataset_small/train/audio_files/LSVSC_audio_39332.wav,nghe để yêu thương thêm trọn vẹn
dataset_small/train/audio_files/LSVSC_audio_40483.wav,rất nhiều thành tựu trong cuộc cách mạng này đã đem lại lợi nhuận không nhỏ cho các doanh nghiệp cũng như đem tới cuộc sống tốt đẹp hơn cho mọi người
dataset_small/train/audio_files/LSVSC_audio_18811.wav,Nó cũng đang diễn ra rất phức tạp.
dataset_small/train/audio_files/cskh_minimax5979.wav,"Chúng tôi chỉ còn một ít túi trà thảo mộc hảo hạng này trong kho, hãy nhanh tay để không bỏ lỡ. Những hạt cà phê độc quyền từ vùng cao chỉ có sẵn trong thời gian ngắn."
dataset_small/train/audio_files/vivoice_495370.wav,Chúng ta bị loại thải.
dataset_small/train/audio_files/audio_01923_man_1.wav,quay trở lại ví dụ trước của chúng ta.
dataset_small/train/audio_files/LSVSC_audio_30974.wav,tiếp ngay sau đó hội đồng tư vấn cấp giấy đăng ký lưu hành thuốc nguyên liệu làm thuốc sẽ xem xét hồ sơ
dataset_small/train/audio_files/LSVSC_audio_19188.wav,Vì vậy có nhiều có nhiều tiềm năng để tiếp tục phát triển mạnh mẽ
dataset_small/train/audio_files/cskh_minimax505.wav,Chị sẽ thấy được kết quả sau khoảng một tháng học đều đặn.
dataset_small/train/audio_files/vivoice_151599.wav,Tôi đi học nhân sự.
dataset_small/train/audio_files/vivoice_430984.wav,Thí dụ trong tương lai gần.
dataset_small/train/audio_files/cskh_minimax3804.wav,"Chúng tôi đồng hành cùng bạn trong từng chiến dịch, đảm bảo kết quả tuyệt vời."
dataset_small/train/audio_files/vivoice_863972.wav,nếu bước một và bước hai.
dataset_small/train/audio_files/audio_30473_man_1.wav,không xứng đáng với địa vị cao quý của ông ta.
dataset_small/train/audio_files/audio_18022_man_1.wav,đây là một loại bánh mà chúng tôi rất thích thời đó.
dataset_small/train/audio_files/vivoice_564033.wav,Bạn tươi cười.
dataset_small/train/audio_files/vivoice_798641.wav,"Bạn thấy không, lúc này người bố không hề phê phán con, cũng không lập tức hỏi vặn lại, mà đang chỉ trình bày lại thuận theo cái cảm xúc của người con thôi."
dataset_small/train/audio_files/vivoice_818850.wav,Và bị dừng lại bởi chiếc cửa gỗ của nhà vệ sinh.
dataset_small/train/audio_files/vivoice_309468.wav,Nó thuộc về tất cả những người đàn ông.
dataset_small/train/audio_files/vivoice_744539.wav,Chấp nhận đi làm những công việc mà ta không yêu thích để tồn tại trong xã hội này.
dataset_small/train/audio_files/vivoice_145642.wav,Chỗ này tự nhiên cái nhớ ra phải nói để khỏi bị bắt bẻ.
dataset_small/train/audio_files/vivoice_647468.wav,Và có một cái tin vui riêng cái tập kỳ này thì tin vui thôi chứ không có tin buồn.
dataset_small/train/audio_files/vivoice_17940.wav,Nghề nghiệp của mình.
dataset_small/train/audio_files/vivoice_323819.wav,Đừng để những ký ức đau buồn làm giảm đi niềm tin về những điều tuyệt vời trong cuộc sống.
dataset_small/train/audio_files/LSVSC_audio_13741.wav,"""Trước giờ khai mạc các đồng chí lãnh đạo Đảng, nhà nước mặt trận tổ quốc việt nam và các đại biểu Quốc hội đã tới đặt vòng hoa và vào lăng viếng chủ tịch Hồ Chí Minh."""
dataset_small/train/audio_files/LSVSC_audio_21820.wav,Ông Chu Văn Hà trú tại phường Chi Lăng thành phố Lạng Sơn là lái xe đồng thời cũng là chủ hàng khai nhận toàn bộ hàng hóa này mua trôi nổi gần khu vực biên giới bán kiếm lời.
dataset_small/train/audio_files/vivoice_187132.wav,Không lẽ đời tôi mà tôi không hiểu bằng bạn.
dataset_small/train/audio_files/LSVSC_audio_01811.wav,tiết mục nào chung kết trở lên là lên tivi luôn.
dataset_small/train/audio_files/audio_30075_man_1.wav,"khi chúng ta đưa ra quyết định với nhận thức, ta cần phải học cách dừng lại và tạo khoảng lặng."
dataset_small/train/audio_files/train_243.wav,tại sao ông leonardo da vinci ông không dùng con mẹ máy ảnh hay là máy in luôn đi.
dataset_small/train/audio_files/cskh_minimax2197.wav,Nghĩa là nếu mình xài thẻ thường xuyên thì gần như không mất chi phí duy trì thẻ đó chị.
dataset_small/train/audio_files/vivoice_202934.wav,Trong cuộc sống của chúng ta cũng thế.
dataset_small/train/audio_files/vivoice_374614.wav,"Hay là bệnh sơ cứng bì, các bệnh về tuyến giáp bất thường cũng xảy ra là do chính các kháng thể tấn công."
dataset_small/train/audio_files/vivoice_2414.wav,sau khi mà bước một.
dataset_small/train/audio_files/audio_03451_man_1.wav,"thôi miền là một phương pháp điều trị y tế khá phổ biến, có thể dùng để chữa trị những căn bệnh đặc biệt."
dataset_small/train/audio_files/vivoice_539971.wav,Tôi vẫn mơ về cô ấy mỗi đêm kể từ khi chúng tôi tìm thấy cái xác.
dataset_small/train/audio_files/LSVSC_audio_04156.wav,Qua đó góp phần giới thiệu quảng bá hình ảnh tỉnh Thái Nguyên đổi mới phát triển năng động sáng tạo tới bạn bè trong nước và quốc tế
dataset_small/train/audio_files/LSVSC_audio_10501.wav,"""là người cấy ghép tạng, ung thư , HIV đã tiêm đủ liều cơ bản."""
dataset_small/train/audio_files/audio_08935_man_1.wav,"bạn nghĩ bột cacao đã bị thấm nước hoàn toàn, nhưng khi ta dùng một xiên tre ghim vào khói bột này, lớp nước bột cacao bị cuốn lại để lộ lớp bột bên trong như mới và không hề thấm nước."
dataset_small/train/audio_files/vivoice_637325.wav,Em sẽ chết mất.
dataset_small/train/audio_files/vivoice_351717.wav,Đằng sau cánh cửa.
dataset_small/train/audio_files/vivoice_311767.wav,"Dần dần khi mà chúng ta biết đi thẳng, thì một vấn đề lớn khác xảy ra."
dataset_small/train/audio_files/vivoice_328780.wav,"Và trong đời, ai cũng có những điểm yếu, những chuyện xấu hổ, ngượng ngùng hay là bối rối."
dataset_small/train/audio_files/audio_21728_man_1.wav,spotify cung cấp miễn phí dữ liệu đó cho các nghệ sĩ để giúp họ sử dụng nền tảng này tốt hơn.
dataset_small/train/audio_files/vivoice_811865.wav,Đây không phải là body shaming nha.
dataset_small/train/audio_files/vivoice_124131.wav,"Hi, xin chào các bạn. Chào mừng các bạn đã quay trở lại với Better Version, kênh chia sẻ kiến thức phát triển toàn diện bản thân qua các cuốn sách hay."
dataset_small/train/audio_files/vivoice_373952.wav,Việc chúng ta bị chóa ngợp bởi những ồn ào từ thế giới bên ngoài và bị lung lay bởi ý kiến của người khác đó là điều khó tránh khỏi.
dataset_small/train/audio_files/audio_11725_man_1.wav,"billy, cậu bé đã cầu xin cha đừng ra ngoài và bỏ cậu lại phía sau, đã bắt david hứa rằng từ nay họ sẽ ở bên nhau."
dataset_small/train/audio_files/vivoice_785904.wav,"không phải là đọc lại cuốn sách đó lần thứ hai, thứ ba đâu."
dataset_small/train/audio_files/audio_02405_man_1.wav,"đại tướng tô lâm, ủy viên bộ chính trị, bí thư đảng ủy công an trung ương, bộ trưởng bộ công an đến dự và phát biểu chỉ đạo."
dataset_small/train/audio_files/audio_03670_man_1.wav,bạn vừa nghe xong tóm tắt sách năm ngôn ngữ tình yêu.
dataset_small/train/audio_files/story_2_viettel_hcm-thuydung_395.wav,học hỏi những kỹ năng sống và kinh doanh quan trọng.
dataset_small/train/audio_files/audio_21624_man_1.wav,"nhân khỏi xê-xa đang bị bảo vệ trên đảo, quân đội của ashino đã bất ngờ tiến công hòng bắt sống hoàng đế lama. quân lama tàn tác chạy khắp nơi, còn xê-xa buộc phải nhảy xuống biển và bơi đi vì mạng sống của mình."
dataset_small/train/audio_files/vivoice_301988.wav,Sẽ thường bị bùa vây bởi những điều tồi tệ.
